,VP1,VP0
332,147330017.2071472,138545672.2843003
333,85366886.00859384,80277005.57618687
334,143295217.32736236,134751441.66874665
335,165376940.30241475,155516572.9893578
336,143083148.33268073,134552016.98940575
337,151992379.18821955,142930047.49408677
338,193798812.7904379,182243831.3313924
339,124052698.87060453,116656231.29293981
340,146373102.45459297,137645812.2270997
341,124513406.59458315,117089469.96727896
342,54293353.59894491,51056188.80339172
343,103939240.25416112,97742009.33870235
344,148073701.4219889,139245015.3744976
345,126057262.22954167,118541275.38283454
346,141266759.78845322,132843928.05573194
347,116924273.74458262,109952828.48246968
348,136890239.72992387,128728351.84615244
349,129624468.68918985,121895792.17783345
350,102775412.62292026,96647573.2919964
351,118483608.49930389,111419190.09705755
352,128295808.98442742,120646351.93800403
353,99363857.083404,93439426.95008056
354,174380196.38849154,163983022.60253763
355,165387852.18889678,155526834.2699658
356,159549524.06791884,150036608.24630398
357,147235422.18925846,138456717.36121958
358,135861726.10582915,127761161.89935826
359,148355990.34916303,139510473.22168404
360,168265253.9263664,158232674.97851083
361,124746577.20165637,117308738.10507111
362,140985535.75713366,132579471.61148347
363,119576146.23829196,112446586.81100248
364,136864179.0476323,128703844.99536455
365,137757177.59425548,129543599.7604567
366,129955086.18782997,122206697.07343017
367,131067723.40994252,123252994.86710641
368,113764127.26177178,106981101.28608777
369,129091761.87252669,121394847.25537914
370,148214845.0026724,139377743.46782914
371,151191195.9848861,142176633.71166217
372,115342690.37497984,108465544.79534976
373,199737672.1714021,187828594.5801521
374,115668848.26958449,108772255.98452514
375,65983474.67980111,62049302.86754675
376,145588177.62118268,136907687.43217367
377,110721796.93305078,104120165.62142323
378,108567645.49418215,102094452.43033178
379,84963930.0976632,79898075.34432295
380,101882877.79429586,95808254.59637
381,106765722.80374953,100399966.84427966
382,118439015.57558738,111377255.9636573
383,112462997.51806383,105757549.57213077
384,75471586.1668903,70971699.06084193
385,165719311.601016,155838530.88113534
386,126504696.94663906,118962032.43464723
387,140298665.32652998,131933554.86359906
388,150081711.30939475,141133300.49845174
389,151320287.6599549,142298028.47728935
390,159670434.08507702,150150309.17385855
391,115483631.86301981,108598082.84552722
392,112623328.81901512,105908321.34491405
393,108512229.77476628,102042340.79519367
394,137001193.87631306,128832690.5077207
395,142591345.35288224,134089537.07011136
396,213653050.55258766,200914288.10994452
397,142024035.87816823,133556052.6243925
398,122199952.9574854,114913952.74732494
399,143978272.0325401,135393770.19846338
400,137338161.3719551,129149566.79068509
401,121629400.57864803,114377418.751077
